,Address,Name Tag,Balance,Txn Count
0,0x5b31bb52bdd7006ae57f9d9506c0ff995229b63c,Anycoin Direct,0.0108823 ETH,48956
1,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617374 ETH,391319
2,0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,0.48655556 ETH,105265
3,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,"26,025.99428973 ETH",1418202
4,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,"7,430.15706576 ETH",1962044
5,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,387.54014171 ETH,8225809
6,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,"1,445.65614307 ETH",9874478
7,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,"1,503.02910237 ETH",9376626
8,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,"4,241.76855534 ETH",7666768
9,0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,"21,370.61713243 ETH",3830844
10,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini 2,0 ETH,324740
11,0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini 4,0 ETH,1884548
12,0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini 5,0 ETH,23
13,0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini 6,0 ETH,382
14,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,"57,419.83908867 ETH",130
15,0xedbb72e6b3cf66a792bff7faac5ea769fe810517,Liquid 1,5.76409873 ETH,70133
16,0xdb2cad4f306b47c9b35541988c7656f1bb092e15,Liquid 3,0.03724756 ETH,51221
17,0x9cc2dce817093ceea82bb67a4cf43131fa354c06,Liquid 4,0.00340511 ETH,6496
18,0xaf1931c20ee0c11bea17a41bfbbad299b2763bc0,Luno 1,"6,523.92059815 ETH",2957
19,0x416299aade6443e6f6e8ab67126e65a7f606eef5,Luno 2,"31,622.49995351 ETH",1158426
20,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano 1,0.0111412 ETH,78779
21,0x340d693ed55d7ba167d184ea76ea2fd092a35bdc,Uphold.com,22.76585446 ETH,909678
