,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x11613b1f840bb5A40F8866d857e24DA126B79D73,EligmaToken  (ELI),"$6,749,905.00",1370,https://gocrypto.com/
1,2,0xc7c03b8a3fc5719066e185ea616e87b88eba44a3,HappyPay  (HPAY),"$256,732.00",486,https://gohappypay.com/
2,3,0x44bf22949f9cc84b61b9328a9d885d1b5c806b41,Netkoin  (NTK),"$27,753.00",14069,http://www.netkoin.com/
3,4,0xc72ed4445b3fe9f0863106e344e241530d338906,Coupon Chain...  (CCT),$0.00,147,http://www.coupon-chain.org/
4,5,0xfc4b9e2d71a7795102Eb0C0e8b5DA992946a62De,Coimatic 3.0  (CTIC3),$0.00,52,https://coimatic.com/
5,6,0x0743392132d1a03a902c477e5a176f256ba3220c,Mozo Token  (MOZO),$0.00,2812,https://mozocoin.io/
6,7,0xEeE690AAA67d1eE33365c02C3Bf477A93867052f,OSAToken  (OSA),$0.00,3798,https://osadc.io/en/
7,8,0x31274db8b609df99e5988ee527071643b5160fc3,wys Token  (WYS),$0.00,1915,https://wysker.com/
8,9,0x63b992e6246d88f07fc35a056d2c365e6d441a3d,CAPP Token  (CAPP),$0.00,7661,https://cappasity.com/
9,10,0x5d4d57cd06fa7fe99e26fdc481b468f77f05073c,Mallcoin Tok...  (MLC),$0.00,3974,https://flogmall.com/
10,11,0xc6abf3c09341741ac6041b0b08195701bdfd460c,Business Cre...  (BCS),$0.00,50,http://www.bcachain.org/
11,12,0xd8950fdeaa10304b7a7fd03a2fc66bc39f3c711a,Soma Communi...  (SCT),$0.00,66885,https://soma.co/
