,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x45804880De22913dAFE09f4980848ECE6EcbAf78,Paxos Gold (PAXG),"$494,980,324.00",30050,https://www.paxos.com/paxgold
1,2,0xa58a4f5c4Bb043d2CC1E170613B74e767c94189B,UTU Coin (UTU),"$574,145.00",3664,https://protocol.utu.io/
2,3,0x5bc0531961ac966486f53e34e6fb3b16eaf3ab4c,rDAO2 (rDAO),$0.00,57,https://realtydao.com/
3,4,0xC8218f0599B648E8c1436802Fe30F0CbAB4D97e2,Minter Vault Token,$0.00,27,https://www.minter.global/vault
4,5,0x2e8891aa76743ee96547acb764a69b87872423f8,1PLANET Carbon Credit,$0.00,9,https://climatefutures.io/
5,6,0x04d78F330b93D2E7618A85AB5D2d4eA65A1b1a24,WayToSa (WTS),$0.00,6,https://www.waytosa.com/
6,7,0x0e99cc0535bb6251f6679fa6e65d6d3b430e840b,Wrapped Mirror FB Token,$0.00,17,https://mirror.finance/
7,8,0x9d1555d8cB3C846Bb4f7D5B1B1080872c3166676,Wrapped Mirror SLV Token,$0.00,164,https://mirror.finance/
8,9,0x0cae9e4d663793c2a2a0b211c1cf4bbca2b9caa7,Wrapped Mirror AMZN Token,$0.00,152,https://mirror.finance/
9,10,0x4a6058666cf1057eac3cd3a5a614620547559fc9,Brickblock (BBK),$0.00,19465,https://www.brickblock.io/
10,11,0x41bbedd7286daab5910a1f15d12cbda839852bd7,Wrapped Mirror MSFT Token,$0.00,139,https://mirror.finance/
11,12,0xc23f4bd4667b32040ab34e8f797b7490c20b9547,Bavala Gold Token,$0.00,6,https://www.bavala.com/
12,13,0xc8d674114bac90148d11d3c1d33c61835a0f9dcd,Wrapped Mirror NFLX Token,$0.00,136,https://mirror.finance/
13,14,0x797e2b99d37d78d0fe16878618d98d9162cc785a,Stobox Lucky NFT,$0.00,-,https://www.stobox.io/
14,15,0x38d3d9abbdba8305ebb8b72996efe55bf785aed0,Unicorn SPX Security Token,$0.00,153,https://spacex.orderbook.io/
15,16,0x30D862bbbef3B75f700D6ba7D323B95708eaafAA,Funder One (FUNDX),$0.00,2540,https://fundx.io/
16,17,0xe80c3122eb705252fa768c1ea7fad507f7ca350f,Sayvland Index,$0.00,12,https://sayvland.io/
17,18,0xf72fcd9dcf0190923fadd44811e240ef4533fc86,Wrapped Mirror VIXY Token,$0.00,102,https://mirror.finance/
18,19,0x6d57b2e05f26c26b549231c866bdd39779e4a488,VNX Gold (VNXAU),$0.00,47,https://vnx.li/
19,20,0x1d350417d9787e000cc1b95d70e9536dcd91f373,Wrapped Mirror IAU Token,$0.00,132,https://mirror.finance/
20,21,0xf1dd65acebf57d31eabc61ec9f2d2829e7d986d0,Canamex Gold (CXGLD),$0.00,1,https://www.canamexgold.com/
21,22,0xedb0414627e6f1e3f082de65cd4f9c693d78cca9,Wrapped Mirror TWTR Token,$0.00,110,https://mirror.finance/
22,23,0x21ca39943e91d704678f5d00b6616650f066fd63,Wrapped Mirror TSLA Token,$0.00,219,https://mirror.finance/
23,24,0x3e1e15AFD5d50b090aDcC88160dD84a48EA1B80E,vSPY Token V_1_0_0,$0.00,14,https://www.itovault.com/
24,25,0x45f1aa35fec099e5eeab818004685992ee69e70a,TOKEN_KBC (KBC),$0.00,8,http://www.keibacoin.org/en.html
25,26,0xd80776bbf68cde466900a7214c772a7d179c420f,ETH2SOCKS,$0.00,76,https://etherean.defisocks.com/
26,27,0x29239242A83479a4074Cb1c9e2A3e6705A4A4455,TOZEX (TOZ),$0.00,2174,https://tozex.io/
27,28,0x1e25857931f75022a8814e0b0c3a371942a88437,Wrapped Mirror COIN Token,$0.00,4,https://mirror.finance/
28,29,0x31c63146a635eb7465e5853020b39713ac356991,Wrapped Mirror USO Token,$0.00,107,https://mirror.finance/
29,30,0x56aa298a19c93c6801fdde870fa63ef75cc0af72,Wrapped Mirror BABA Token,$0.00,107,https://mirror.finance/
30,31,0xed9dec5497fa2feb653acd4a3862740ae705c382,Canamex Silver,$0.00,1,https://www.canamexgold.com/
31,32,0x13b02c8de71680e71f0820c996e4be43c2f57d15,Wrapped Mirror QQQ Token,$0.00,145,https://mirror.finance/
32,33,0x59a921db27dd6d4d974745b7ffc5c33932653442,Wrapped Mirror GOOGL Token,$0.00,136,https://mirror.finance/
33,34,0xc85d9309a26b6a4a49eb895ecc34ffcb9698ae11,JDXUCoin (JDXU),$0.00,19,https://jdxcoin.com/
