,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x4ad7a056191f4c9519facd6d75fa94ca26003ace,Paxos Gold  (PAXG),"$493,134,239.00",30062,https://www.paxos.com/paxgold
1,2,0x0557Df767419296474C3f551Bb0A0ED4c2DD3380,Tether Gold  (XAUt),"$477,209,972.00",984,https://tether.to/
2,3,0x71F9bD46f802F901FB5494f656583F9DEa9da869,veraone  (VRO),"$17,242,219.00",1605,http://www.veraone.io/
3,4,0xeAb43193CF0623073Ca89DB9B712796356FA7414,Xaurum  (Xaurum),"$1,488,790.00",3596,https://www.xaurum.org/
4,5,0xaa2636dd8535ef02926d818670c44a07d707014e,CACHE Gold  (CGT),"$1,359,756.00",291,https://cache.gold/
5,6,0x1de6cB5b085ac84bd247b8176c781E913166Aa6b,Digix Gold T...  (DGX),"$985,768.00",2143,https://digixglobal.io
6,7,0x394d14d78850e516fa5eb88f843ef43196e136b0,Perth Mint G...  (PMGT),"$905,443.00",226,https://pmgt.io/
7,8,0xaffcdd96531bcd66faed95fc61e443d08f79efef,Auric Networ...  (AUSCM),"$43,639.00",863,https://auric.network/
8,9,0x45804880De22913dAFE09f4980848ECE6EcbAf78,GoldFund  (GFUN),$0.00,1735,https://www.goldfund.io/
9,10,0xc23f4bd4667b32040ab34e8f797b7490c20b9547,GIX Coin  (GIX),$0.00,365,https://goldfinx.com/
10,11,0x24022539963319B0d6ca92797cfDC7CDf59C6930,1irstgold  (GOLD),$0.00,343,https://www.1irstgold.com/
11,12,0x0d16450d347c12c086d6c94c76c5aaac35ea07e0,Digital Gold  (DGLD),$0.00,2757,https://dgld.ch/
12,13,0xbd434a09191d401da3283a5545bb3515d033b8c4,Universal Go...  (UPXAU),$0.00,140,https://universalprotocol.io/
13,14,0x39d3db3591e31f12aa395e935fc46b152242e137,GODL Gold  (GODL),$0.00,101,https://godl.gold/
14,15,0xd668dAb892F1B702a6B9EE01342508B14d4E62C5,DinarCoin  (DNC),$0.00,3,https://www.dinarkripto.com/
15,16,0x4DF812F6064def1e5e029f1ca858777CC98D2D81,Orocrypt Gol...  (OCG),$0.00,9,https://orocrypt.com/
16,17,0x6885be47eaaacfb80e6858b8ff00ebe2389b5d56,Bavala Gold ...  (BGT),$0.00,6,https://www.bavala.com/
17,18,0x61561529350276B2D44227a078b248d52c67b1dC,Dua Empat Ka...  (DEK),$0.00,91,http://www.duaempat.io/
18,19,0xc949fc82a15964fb5b97e5cf8f9ffed139086821,AurusGOLD  (AWG),$0.00,470,https://aurus.io/
19,20,0x10086399dd8c1e3de736724af52587a2044c9fa2,dForce  (GOLDx),$0.00,34,https://goldx.dforce.network/
20,21,0x696acc2de564b48682d71d0847b3632f87c9a402,AnthemGold  (AGLD),$0.00,561,https://anthemgold.com/
21,22,0x1c7BBADc81E18F7177A95eb1593e5f5f35861B10,GoldPesa Opt...  (GPO),$0.00,2458,https://goldpesa.com/
22,23,0xa72e909fa123b3d0ed1f8b4607440ff1f2c87030,GNEISS Gold ...  (GAU),$0.00,1,https://gneiss.io/
23,24,0xF3DA4C6cB0E9e800428B9cA0F8342ac3B9eEAb21,MetalStream ...  (MSGLD),$0.00,1,https://www.metalstream.io/
24,25,0xa9299c296d7830a99414d1e5546f5171fa01e9c8,DIGau  (DIGau),$0.00,352,http://www.dignitygold.com/
25,26,0x4f3afec4e5a3f2a6a1a411def7d7dfe50ee057bf,Gold Standar...  (AUS),$0.00,364,https://goldsilverstandard.com/
26,27,0xdD553C35E1dD65EC04abe9B4107C2630B6f10563,Orocrypt  (OROC),$0.00,153,https://orocrypt.com/
27,28,0x130914E1B240a7F4c5D460B7d3a2Fd3846b576fa,Digold Token  (DGT),$0.00,14,http://www.digold.com/
28,29,0x919d3a363776b1ceec9352610c82dfaf80edc32d,Puregold Tok...  (PGT),$0.00,593,https://puregold.io
29,30,0x528732d7ff76a31bd419f1d57d549d7643c02db2,GoldDigitSta...  (GLDS),$0.00,28,https://gdigit.io/
30,31,0x6d57b2e05f26c26b549231c866bdd39779e4a488,PGPAY  (PGPAY),$0.00,404,https://puregold.io/
31,32,0x10BC518c32fbAE5e38Ecb50A612160571bD81e44,SpaceGold  (SGOLD),$0.00,1,https://spacegold.online/
32,33,0xf5238462e7235c7b62811567e63dd17d12c2eaa0,Gold Storage  (GOLD),$0.00,348,https://gold.storage/
33,34,0x8d308d8a6d9613d6644e00e128fe968ccac041f6,VNX Gold  (VNXAU),$0.00,47,https://vnx.li/
34,35,0x9b3e946e1a8ea0112b147af4e6e020752f2446bc,PonteGold  (GOLDP),$0.00,8,http://pontegold.com/
35,36,0x355c665e101b9da58704a8fddb5feef210ef20c0,GOLD AI NETW...  (GAIN),$0.00,610,https://gaingold.pro/
36,37,0x68749665ff8d2d112fa859aa293f07a622782f38,BrillianceX  (BRILX),$0.00,29,https://brilliancex.com/
37,38,0xf1dd65acebf57d31eabc61ec9f2d2829e7d986d0,GOLDX  (GOLDX),$0.00,4275,https://www.hellogold.org/
38,39,0x739d2fccf04889965b6f4eb7830f5b7270fab2c1,ALTIN LIRA  (XAL),$0.00,4,https://altinlira.eu/
39,40,0x1545e4bcfbd574fd2974b173dad7cd4c5b4c7a58,The Midas To...  (TMTG),$0.00,9625,https://dgex.io/
40,41,0x171f9cfc136f2b2aaa148fcc6b660a2029bab048,Aureus Nummu...  (ANG),$0.00,3221,https://aureus.nummus.gold/
41,42,0xda4129919f964a3a526d3182bb03e6449e5a8872,Canamex Gold  (CXGLD),$0.00,1,https://www.canamexgold.com/
