,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x62199b909fb8b8cf870f97bef2ce6783493c4908,Wrapped BTC  (WBTC),"$4,011,422,484.00",71351,https://www.wbtc.network/
1,2,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,Huobi BTC  (HBTC),"$229,548,421.00",2581,https://www.hbtc.finance/
2,3,0x9be89d2a4cd102d8fecc6bf9da793be995c22541,Synth sBTC  (sBTC),"$12,162,556.00",1522,https://www.synthetix.io/
3,4,0x51600B0CfF6Bbf79E7767158C41FD15e968Ec404,renBTC  (renBTC),"$8,114,511.00",4517,https://renproject.io/
4,5,0xe1406825186D63980fd6e2eC61888f7B91C4bAe4,The Tokenize...  (imBTC),$0.00,4459,https://tokenlon.im/imbtc
5,6,0x8064d9Ae6cDf087b1bcd5BDf3531bD5d8C537a68,Bitcoin Elec...  (BTCE),$0.00,5,https://bitcoin-electronic.org/
6,7,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,Binance Wrap...  (BBTC),$0.00,18689,https://bitcoin.org/
7,8,0x6a77bf987bf9a0af90586ca72168f8da5c0a7bce,ANY Bitcoin  (anyBTC),$0.00,40,https://anyswap.exchange/
8,9,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa,BoringDAO BT...  (oBTC),$0.00,496,https://boringdao.com/
9,10,0x0316EB71485b0Ab14103307bf65a021042c6d380,Strudel BTC  (VBTC),$0.00,194,https://strudel.finance/
10,11,0x3212b29E33587A00FB1C83346f5dBFA69A458923,pTokens BTC  (pBTC),$0.00,97,https://p.network/
11,12,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,tBTC  (TBTC),$0.00,654,https://tbtc.network/
